EXERCISE 2.1,,,,,,,,,,,,,,,,
CONTROLLER: RANDOM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#ALIENS,avg score,std deviation,,#BOULDERDASH,avg score,std deviation,,#BUTTERFLIES,avg score,std deviation,,#CHASE,avg score,std deviation,,
Level 0,52.7,19.642,,Level 0,1.8,2.394,,Level 0,29.2,19.326,,Level 0,0.5,0.527,,
Level 1,46.3,20.944,,Level 1,2.2,2.529,,Level 1,32.4,1.837,,Level 1,0.2,0.632,,
Level 2,42.4,19.085,,Level 2,1,1.333,,Level 2,32.2,17.998,,Level 2,2.5,2.915,,
Level 3,12.2,11.631,,Level 3,1.3,3.772,,Level 3,24.2,1.475,,Level 3,0.1,0.316,,
Level 4,42.4,18.446,,Level 4,3,4,,Level 4,11.6,5.146,,Level 4,0.7,0.948,,
,,,,,,,,,,,,,,,,
CONTROLLER: ONE STEP LOOK AHEAD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#ALIENS,avg score,std deviation,,#BOULDERDASH,avg score,std deviation,,#BUTTERFLIES,avg score,std deviation,,#CHASE,avg score,std deviation,,
Level 0,58.9,7.264,,Level 0,0,0,,Level 0,14.4,7.042,,Level 0,0.7,0.948,,
Level 1,51.3,8.769,,Level 1,1.5,0.527,,Level 1,28.4,2.066,,Level 1,0.2,0.632,,
Level 2,56.9,5.915,,Level 2,2,0,,Level 2,41,7.007,,Level 2,0.4,0.699,,
Level 3,41.7,2.359,,Level 3,-0.556,0.527,,Level 3,23,2.357,,Level 3,0.1,0.316,,
Level 4,49.1,2.726,,Level 4,0.6,0.966,,Level 4,0,0,,Level 4,0.3,0.674,,
,,,,,,,,,,,,,,,,
CONTROLLER: GENETIC ALGORITHM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#ALIENS,avg score,std deviation,,#BOULDERDASH,avg score,std deviation,,#BUTTERFLIES,avg score,std deviation,,#CHASE,avg score,std deviation,,
Level 0,73.8,5.418,,Level 0,3,0.942,,Level 0,40,20.439,,Level 0,3.7,1.946,,
Level 1,73.7,4,,Level 1,9.6,4.115,,Level 1,32,2,,Level 1,2.7,2.311,,
Level 2,69,4.642,,Level 2,10.9,4.863,,Level 2,53.8,2.573,,Level 2,2.2,1.932,,
Level 3,40,0,,Level 3,9.2,4.732,,Level 3,23.4,1,,Level 3,1.4,1.264,,
Level 4,65.7,3.683,,Level 4,9.6,7.486,,Level 4,14,0,,Level 4,3.2,3.084,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EXERCISE 2.3,,,,,,,,,,,,,,,,
CONTROLLER: SEVERAL STEPS AHEAD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#ALIENS,avg score,std deviation,,#BOULDERDASH,avg score,std deviation,,#BUTTERFLIES,avg score,std deviation,,#CHASE,avg score,std deviation,,
Level 0,63.9,3.446,,Level 0,2,0,,Level 0,11.8,6.629,,Level 0,0.8,0.9798,,
Level 1,59.9,3.478,,Level 1,0,0,,Level 1,27.4,4.221,,Level 1,0,0,,
Level 2,59.4,3.373,,Level 2,2,0,,Level 2,43.2,6.268,,Level 2,0.6,0.4899,,
Level 3,39.9,10.556,,Level 3,0,0,,Level 3,23.4,2.674,,Level 3,0,0,,
Level 4,51.5,1.178,,Level 4,0,0,,Level 4,0.8,2.529,,Level 4,0.4,0.8,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Exercise 3.2,,,,,,,,,,,,,,,,
CONTROLLER: OPTIMISED GENETIC ALGORITHM,,,,,,,,,,,,,,,,
G: 0.88 S: 8 P: 15 R: 0.3 M: 0.125,,,,G: 0.62 S: 5 P: 10  R: 0.22 M: 0.2,,,,G: 0.78 S: 6 P: 6  R: 0.88 M: 0.167,,,,G: 0.68 S: 5 P: 10  R: 0.94 M: 0.2,,,,
#ALIENS,avg score,std deviation,,#BOULDERDASH,avg score,std deviation,,#BUTTERFLIES,avg score,std deviation,,#CHASE,avg score,std deviation,,
Level 0,74.28,3.98,,Level 0,5.4,3.8,,Level 0,54,15.23,,Level 0,4.8,1.17,,
Level 1,74.63,3.49,,Level 1,16.4,5.71,,Level 1,31.2,2.99,,Level 1,3,2.37,,
Level 2,76.07,6.1,,Level 2,15.4,3.44,,Level 2,53.6,2.94,,Level 2,2.9,2.25,,
Level 3,40.3,0.64,,Level 3,6.6,0.8,,Level 3,20.4,0.8,,Level 3,2.2,1.17,,
Level 4,66.5,2.34,,Level 4,12.2,4.67,,Level 4,14,0,,Level 4,4.2,2.14,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Exercise 4,,,,,,,,,,,,,,,,
CONTROLLER: OWN CONTROLLER,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#ALIENS,avg score,std deviation,,#BOULDERDASH,avg score,std deviation,,#BUTTERFLIES,avg score,std deviation,,#CHASE,avg score,std deviation,,
Level 0,75.4,4.76,,Level 0,4.2,2.4,,Level 0,50.8,16.76,,Level 0,2.2,1.72,,
Level 1,75.8,4.12,,Level 1,14.6,6.37,,Level 1,32.4,1.49,,Level 1,3.6,0.8,,
Level 2,74.4,5.95,,Level 2,14.2,4.46,,Level 2,50.4,5.85,,Level 2,3,0,,
Level 3,40,0,,Level 3,10,4,,Level 3,22.4,0.8,,Level 3,0.6,0.8,,
Level 4,66.6,4.41,,Level 4,17.4,4.22,,Level 4,14,0,,Level 4,4.2,0.75,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
